category,url,title,views,tags,title_clean,title_tokens,title_lemmas,named_entities
В мире,https://ria.ru/20250429/medvedev-2014001692.html,"россия вынуждена сражаться с наследниками фашистов, заявил медведев",2313,"['В мире', 'Россия', 'Дмитрий Медведев']",россия вынуждена сражаться наследниками фашистов заявил медведев,"['россия', 'вынуждена', 'сражаться', 'наследниками', 'фашистов', 'заявил', 'медведев']","['россия', 'вынуждена', 'сражаться', 'наследник', 'фашист', 'заявить', 'медведев']","[('россия', 'LOC'), ('медведев', 'PER')]"
В мире,https://ria.ru/20250429/svyaz-2014000601.html,в гренландии отключилась спутниковая связь,4186,"['В мире', 'Испания', 'Гренландия', 'Португалия', 'Антониу Кошта']",гренландии отключилась спутниковая связь,"['гренландии', 'отключилась', 'спутниковая', 'связь']","['гренландия', 'отключиться', 'спутниковый', 'связь']","[('гренландии', 'LOC')]"
В мире,https://ria.ru/20250429/miroshnik-2013999071.html,мирошник назвал реакцию киева на перемирие в день победы ожидаемой,24210,"['В мире', 'Киев', 'Россия', 'Украина', 'Родион Мирошник']",мирошник назвал реакцию киева перемирие день победы ожидаемой,"['мирошник', 'назвал', 'реакцию', 'киева', 'перемирие', 'день', 'победы', 'ожидаемой']","['мирошник', 'назвать', 'реакция', 'киев', 'перемирие', 'день', 'победа', 'ожидать']","[('киева', 'LOC')]"
В мире,https://ria.ru/20250429/kitaj-2013998242.html,мид китая прокомментировал решение россии о трехдневном перемирии,4466,"['В мире', 'Китай', 'Россия', 'Владимир Путин']",мид китая прокомментировал решение россии трехдневном перемирии,"['мид', 'китая', 'прокомментировал', 'решение', 'россии', 'трехдневном', 'перемирии']","['мид', 'китай', 'прокомментировать', 'решение', 'россия', 'трёхдневный', 'перемирие']","[('мид', 'ORG'), ('китая', 'LOC'), ('россии', 'LOC')]"
В мире,https://ria.ru/20250429/elektrichestvo-2013980067.html,хаос и паника: масштабное отключение электроэнергии в европе,4465,"['В мире', 'Фото', 'Испания', 'Португалия']",хаос паника масштабное отключение электроэнергии европе,"['хаос', 'паника', 'масштабное', 'отключение', 'электроэнергии', 'европе']","['хаос', 'паника', 'масштабный', 'отключение', 'электроэнергия', 'европа']","[('европе', 'LOC')]"
В мире,https://ria.ru/20250429/cnn-2013993133.html,cnn раскрыл план сша по прекращению конфликта на украине,15089,"['В мире', 'США', 'Украина', 'Россия', 'Марко Рубио']",cnn раскрыл план сша прекращению конфликта украине,"['cnn', 'раскрыл', 'план', 'сша', 'прекращению', 'конфликта', 'украине']","['cnn', 'раскрыть', 'план', 'сша', 'прекращение', 'конфликт', 'украина']","[('cnn', 'ORG'), ('сша', 'LOC'), ('украине', 'LOC')]"
В мире,https://ria.ru/20250429/uscherb-2013990437.html,в испании подсчитали ущерб от масштабного отключения электроэнергии,12390,"['В мире', 'Испания', 'Севилья', 'Португалия', 'Антониу Кошта']",испании подсчитали ущерб масштабного отключения электроэнергии,"['испании', 'подсчитали', 'ущерб', 'масштабного', 'отключения', 'электроэнергии']","['испания', 'подсчитать', 'ущерб', 'масштабный', 'отключение', 'электроэнергия']","[('испании', 'LOC')]"
В мире,https://ria.ru/20250429/portugalija-2013989893.html,в португалии полностью восстановили электроснабжение,750,"['В мире', 'Испания', 'Португалия', 'Франция', 'Антониу Кошта']",португалии полностью восстановили электроснабжение,"['португалии', 'полностью', 'восстановили', 'электроснабжение']","['португалия', 'полностью', 'восстановить', 'электроснабжение']","[('португалии', 'LOC')]"
В мире,https://ria.ru/20250429/peremirie-2013986708.html,японский депутат призвал украину принять предложение россии о перемирии,2025,"['В мире', 'Украина', 'Россия', 'США', 'Дональд Трамп']",японский депутат призвал украину принять предложение россии перемирии,"['японский', 'депутат', 'призвал', 'украину', 'принять', 'предложение', 'россии', 'перемирии']","['японский', 'депутат', 'призвать', 'украина', 'принять', 'предложение', 'россия', 'перемирие']","[('украину', 'LOC'), ('россии', 'LOC')]"
В мире,https://ria.ru/20250429/makgregor-2013981629.html,"""пойдем на войну"". в сша сделали тяжелое признание об украине",28502,"['В мире', 'Такер Карлсон', 'Министерство обороны США']",пойдем войну сша сделали тяжелое признание украине,"['пойдем', 'войну', 'сша', 'сделали', 'тяжелое', 'признание', 'украине']","['пойти', 'война', 'сша', 'сделать', 'тяжёлый', 'признание', 'украина']","[('сша', 'LOC'), ('украине', 'LOC')]"
В мире,https://ria.ru/20250429/ukraina-2013981171.html,сми рассказали о судьбе украины после мирного соглашения,18793,"['В мире', 'Украина', 'США', 'Вашингтон (штат)', 'Дональд Трамп']",сми рассказали судьбе украины мирного соглашения,"['сми', 'рассказали', 'судьбе', 'украины', 'мирного', 'соглашения']","['сми', 'рассказать', 'судьба', 'украина', 'мирный', 'соглашение']","[('сми', 'ORG'), ('украины', 'LOC')]"
В мире,https://ria.ru/20250429/posolstvo-2013979065.html,посольство россии в дании рассказало об обращении по поводу вандализма,6761,"['В мире', 'Россия', 'Дания', 'Копенгаген', 'Михаил Ванин']",посольство россии дании рассказало обращении поводу вандализма,"['посольство', 'россии', 'дании', 'рассказало', 'обращении', 'поводу', 'вандализма']","['посольство', 'россия', 'дания', 'рассказать', 'обращение', 'повод', 'вандализм']","[('россии', 'LOC'), ('дании', 'LOC')]"
В мире,https://ria.ru/20250429/wsj-2013978361.html,"""в ближайшие месяцы"". wsj раскрыла, что скоро произойдет в зоне сво",34099,"['В мире', 'США', 'Киев', 'Дмитрий Кулеба', 'Вооруженные силы Украины']",ближайшие месяцы wsj раскрыла скоро произойдет зоне сво,"['ближайшие', 'месяцы', 'wsj', 'раскрыла', 'скоро', 'произойдет', 'зоне', 'сво']","['близкий', 'месяц', 'wsj', 'раскрыть', 'скоро', 'произойти', 'зона', 'сво']","[('wsj', 'ORG')]"
